home,office,home_lat,home_lon,office_lat,office_lon,day_of_week,time,duration_mins,date,day,direction,travel_time_minutes,start_lat,start_lng,end_lat,end_lng,hour_of_day,Date,OnlyTime
MG Road,Whitefield,12.9756,77.605,12.9698,77.7499,Sunday,2025-04-06 18:30:00,50.25,,,,,,,,,,2025-04-06,18:30:00
MG Road,Marathahalli,12.9756,77.605,12.955,77.7019,Wednesday,2025-02-05 08:15:00,45.05,,,,,,,,,,2025-02-05,08:15:00
MG Road,Koramangala,12.9756,77.605,12.9352,77.6245,Friday,2025-03-28 08:15:00,23.516666666666666,,,,,,,,,,2025-03-28,08:15:00
Kengeri,RT Nagar,12.9141,77.5145,13.0086,77.5917,Friday,2025-02-14 08:00:00,50.31666666666667,,,,,,,,,,2025-02-14,08:00:00
Hebbal,Yelahanka,13.0352,77.5912,13.1007,77.5963,Tuesday,2025-02-04 18:30:00,20.35,,,,,,,,,,2025-02-04,18:30:00
Yelahanka,Vijayanagar,13.1007,77.5963,12.9798,77.5441,Monday,2025-02-10 18:15:00,51.53333333333333,,,,,,,,,,2025-02-10,18:15:00
Malleshwaram,Koramangala,13.0097,77.569,12.9352,77.6245,Tuesday,2025-04-08 18:15:00,54.31666666666667,,,,,,,,,,2025-04-08,18:15:00
HSR Layout,Electronic City,12.9121,77.6446,12.8452,77.66,Monday,2025-04-07 18:15:00,26.716666666666665,,,,,,,,,,2025-04-07,18:15:00
Kengeri,Malleshwaram,12.9141,77.5145,13.0097,77.569,Wednesday,2025-03-05 18:45:00,48.23333333333333,,,,,,,,,,2025-03-05,18:45:00
Hebbal,Jayanagar,13.0352,77.5912,12.925,77.5938,Tuesday,2025-02-11 08:00:00,41.56666666666667,,,,,,,,,,2025-02-11,08:00:00
Jayanagar,Basavanagudi,12.925,77.5938,12.9407,77.5848,Sunday,2025-02-16 08:30:00,11.15,,,,,,,,,,2025-02-16,08:30:00
Vijayanagar,Rajajinagar,12.9798,77.5441,12.9911,77.556,Wednesday,2025-02-12 08:45:00,10.983333333333333,,,,,,,,,,2025-02-12,08:45:00
RT Nagar,Hebbal,13.0086,77.5917,13.0352,77.5912,Sunday,2025-03-16 18:30:00,14.45,,,,,,,,,,2025-03-16,18:30:00
Banashankari,HSR Layout,12.9184,77.5736,12.9121,77.6446,Monday,2025-02-24 08:00:00,20.8,,,,,,,,,,2025-02-24,08:00:00
HSR Layout,Yelahanka,12.9121,77.6446,13.1007,77.5963,Sunday,2025-01-26 08:00:00,54.4,,,,,,,,,,2025-01-26,08:00:00
HSR Layout,Banashankari,12.9121,77.6446,12.9184,77.5736,Wednesday,2025-03-26 18:30:00,37.03333333333333,,,,,,,,,,2025-03-26,18:30:00
RT Nagar,Yelahanka,13.0086,77.5917,13.1007,77.5963,Thursday,2025-03-13 18:00:00,26.98333333333333,,,,,,,,,,2025-03-13,18:00:00
BTM Layout,Banashankari,12.9166,77.6101,12.9184,77.5736,Sunday,2025-01-19 08:45:00,24.316666666666663,,,,,,,,,,2025-01-19,08:45:00
Electronic City,Indiranagar,12.8452,77.66,12.9716,77.6412,Wednesday,2025-03-19 18:00:00,50.98333333333333,,,,,,,,,,2025-03-19,18:00:00
MG Road,Electronic City,12.9756,77.605,12.8452,77.66,Sunday,2025-02-23 18:00:00,42.93333333333333,,,,,,,,,,2025-02-23,18:00:00
Koramangala,Banashankari,12.9352,77.6245,12.9184,77.5736,Wednesday,2025-03-26 08:30:00,27.133333333333333,,,,,,,,,,2025-03-26,08:30:00
Vijayanagar,Whitefield,12.9798,77.5441,12.9698,77.7499,Friday,2025-01-31 18:15:00,89.8,,,,,,,,,,2025-01-31,18:15:00
Sarjapur,Kengeri,12.8618,77.79,12.9141,77.5145,Thursday,2025-03-13 18:15:00,89.35,,,,,,,,,,2025-03-13,18:15:00
HSR Layout,Marathahalli,12.9121,77.6446,12.955,77.7019,Wednesday,2025-03-19 08:45:00,37.38333333333333,,,,,,,,,,2025-03-19,08:45:00
MG Road,RT Nagar,12.9756,77.605,13.0086,77.5917,Monday,2025-03-31 08:45:00,16.183333333333334,,,,,,,,,,2025-03-31,08:45:00
Banashankari,Koramangala,12.9184,77.5736,12.9352,77.6245,Tuesday,2025-03-11 08:15:00,31.683333333333334,,,,,,,,,,2025-03-11,08:15:00
Indiranagar,Jayanagar,12.9716,77.6412,12.925,77.5938,Wednesday,2025-01-29 08:00:00,32.61666666666667,,,,,,,,,,2025-01-29,08:00:00
MG Road,Marathahalli,12.9756,77.605,12.955,77.7019,Sunday,2025-03-30 08:15:00,34.13333333333333,,,,,,,,,,2025-03-30,08:15:00
Jayanagar,Whitefield,12.925,77.5938,12.9698,77.7499,Monday,2025-02-10 08:00:00,55.35,,,,,,,,,,2025-02-10,08:00:00
Banashankari,Electronic City,12.9184,77.5736,12.8452,77.66,Wednesday,2025-03-26 08:45:00,28.666666666666668,,,,,,,,,,2025-03-26,08:45:00
Kengeri,Nagavara,12.9141,77.5145,13.0458,77.6245,Saturday,2025-03-01 08:30:00,58.13333333333333,,,,,,,,,,2025-03-01,08:30:00
Nagavara,Basavanagudi,13.0458,77.6245,12.9407,77.5848,Monday,2025-02-10 08:30:00,53.73333333333333,,,,,,,,,,2025-02-10,08:30:00
Indiranagar,Marathahalli,12.9716,77.6412,12.955,77.7019,Sunday,2025-04-06 18:00:00,32.083333333333336,,,,,,,,,,2025-04-06,18:00:00
Basavanagudi,Indiranagar,12.9407,77.5848,12.9716,77.6412,Tuesday,2025-04-08 18:45:00,38.95,,,,,,,,,,2025-04-08,18:45:00
Malleshwaram,RT Nagar,13.0097,77.569,13.0086,77.5917,Sunday,2025-03-16 18:30:00,11.183333333333334,,,,,,,,,,2025-03-16,18:30:00
Indiranagar,RT Nagar,12.9716,77.6412,13.0086,77.5917,Tuesday,2025-01-14 08:30:00,31.383333333333333,,,,,,,,,,2025-01-14,08:30:00
Malleshwaram,RT Nagar,13.0097,77.569,13.0086,77.5917,Friday,2025-03-21 08:00:00,10.066666666666666,,,,,,,,,,2025-03-21,08:00:00
BTM Layout,Electronic City,12.9166,77.6101,12.8452,77.66,Friday,2025-02-14 08:00:00,16.666666666666668,,,,,,,,,,2025-02-14,08:00:00
MG Road,Yelahanka,12.9756,77.605,13.1007,77.5963,Thursday,2025-03-06 18:00:00,46.98333333333333,,,,,,,,,,2025-03-06,18:00:00
Rajajinagar,RT Nagar,12.9911,77.556,13.0086,77.5917,Tuesday,2025-02-25 08:00:00,20.5,,,,,,,,,,2025-02-25,08:00:00
Indiranagar,Hebbal,12.9716,77.6412,13.0352,77.5912,Monday,2025-03-10 08:45:00,42.78333333333333,,,,,,,,,,2025-03-10,08:45:00
MG Road,Electronic City,12.9756,77.605,12.8452,77.66,Thursday,2025-02-06 08:00:00,42.43333333333333,,,,,,,,,,2025-02-06,08:00:00
Sarjapur,Rajajinagar,12.8618,77.79,12.9911,77.556,Thursday,2025-02-06 08:15:00,94.75,,,,,,,,,,2025-02-06,08:15:00
Yelahanka,Kengeri,13.1007,77.5963,12.9141,77.5145,Tuesday,2025-01-28 08:00:00,61.41666666666666,,,,,,,,,,2025-01-28,08:00:00
Indiranagar,Whitefield,12.9716,77.6412,12.9698,77.7499,Friday,2025-03-07 08:30:00,35.766666666666666,,,,,,,,,,2025-03-07,08:30:00
Rajajinagar,BTM Layout,12.9911,77.556,12.9166,77.6101,Monday,2025-01-13 08:15:00,43.4,,,,,,,,,,2025-01-13,08:15:00
Yelahanka,Rajajinagar,13.1007,77.5963,12.9911,77.556,Thursday,2025-04-03 18:45:00,48.71666666666667,,,,,,,,,,2025-04-03,18:45:00
Sarjapur,Jayanagar,12.8618,77.79,12.925,77.5938,Saturday,2025-03-08 18:00:00,70.05,,,,,,,,,,2025-03-08,18:00:00
Sarjapur,Kengeri,12.8618,77.79,12.9141,77.5145,Friday,2025-03-07 18:15:00,88.46666666666667,,,,,,,,,,2025-03-07,18:15:00
Jayanagar,Nagavara,12.925,77.5938,13.0458,77.6245,Sunday,2025-03-30 08:15:00,49.25,,,,,,,,,,2025-03-30,08:15:00
Yelahanka,Banashankari,13.1007,77.5963,12.9184,77.5736,Saturday,2025-03-29 08:45:00,60.71666666666667,,,,,,,,,,2025-03-29,08:45:00
Kengeri,MG Road,12.9141,77.5145,12.9756,77.605,Wednesday,2025-01-29 08:30:00,48.016666666666666,,,,,,,,,,2025-01-29,08:30:00
Whitefield,Electronic City,12.9698,77.7499,12.8452,77.66,Monday,2025-02-17 18:15:00,70.91666666666667,,,,,,,,,,2025-02-17,18:15:00
Banashankari,Hebbal,12.9184,77.5736,13.0352,77.5912,Sunday,2025-01-12 08:30:00,41.71666666666667,,,,,,,,,,2025-01-12,08:30:00
Banashankari,Hebbal,12.9184,77.5736,13.0352,77.5912,Tuesday,2025-03-11 18:30:00,59.65,,,,,,,,,,2025-03-11,18:30:00
Whitefield,RT Nagar,12.9698,77.7499,13.0086,77.5917,Wednesday,2025-01-29 08:00:00,61.61666666666667,,,,,,,,,,2025-01-29,08:00:00
Jayanagar,Banashankari,12.925,77.5938,12.9184,77.5736,Wednesday,2025-02-19 08:30:00,10.516666666666667,,,,,,,,,,2025-02-19,08:30:00
Sarjapur,Banashankari,12.8618,77.79,12.9184,77.5736,Wednesday,2025-03-12 08:15:00,68.18333333333334,,,,,,,,,,2025-03-12,08:15:00
Vijayanagar,Indiranagar,12.9798,77.5441,12.9716,77.6412,Monday,2025-03-17 18:30:00,52.61666666666667,,,,,,,,,,2025-03-17,18:30:00
Basavanagudi,Koramangala,12.9407,77.5848,12.9352,77.6245,Monday,2025-03-17 08:15:00,24.75,,,,,,,,,,2025-03-17,08:15:00
Basavanagudi,Rajajinagar,12.9407,77.5848,12.9911,77.556,Monday,2025-03-03 08:15:00,28.05,,,,,,,,,,2025-03-03,08:15:00
Kengeri,HSR Layout,12.9141,77.5145,12.9121,77.6446,Saturday,2025-02-22 08:00:00,45.2,,,,,,,,,,2025-02-22,08:00:00
Nagavara,Sarjapur,13.0458,77.6245,12.8618,77.79,Sunday,2025-02-09 18:45:00,74.98333333333333,,,,,,,,,,2025-02-09,18:45:00
Basavanagudi,Banashankari,12.9407,77.5848,12.9184,77.5736,Tuesday,2025-03-11 18:15:00,16.816666666666666,,,,,,,,,,2025-03-11,18:15:00
Marathahalli,MG Road,12.955,77.7019,12.9756,77.605,Sunday,2025-01-26 08:30:00,27.95,,,,,,,,,,2025-01-26,08:30:00
Jayanagar,Sarjapur,12.925,77.5938,12.8618,77.79,Saturday,2025-03-22 18:00:00,64.4,,,,,,,,,,2025-03-22,18:00:00
Rajajinagar,Malleshwaram,12.9911,77.556,13.0097,77.569,Friday,2025-04-11 18:30:00,17.566666666666666,,,,,,,,,,2025-04-11,18:30:00
Marathahalli,Nagavara,12.955,77.7019,13.0458,77.6245,Sunday,2025-02-09 18:15:00,38.53333333333333,,,,,,,,,,2025-02-09,18:15:00
Koramangala,BTM Layout,12.9352,77.6245,12.9166,77.6101,Friday,2025-02-28 08:30:00,28.35,,,,,,,,,,2025-02-28,08:30:00
Nagavara,Kengeri,13.0458,77.6245,12.9141,77.5145,Wednesday,2025-02-19 08:45:00,63.53333333333333,,,,,,,,,,2025-02-19,08:45:00
Sarjapur,HSR Layout,12.8618,77.79,12.9121,77.6446,Saturday,2025-03-01 18:15:00,60.15,,,,,,,,,,2025-03-01,18:15:00
Malleshwaram,BTM Layout,13.0097,77.569,12.9166,77.6101,Friday,2025-02-14 18:30:00,59.65,,,,,,,,,,2025-02-14,18:30:00
Hebbal,Indiranagar,13.0352,77.5912,12.9716,77.6412,Monday,2025-04-07 08:15:00,34.983333333333334,,,,,,,,,,2025-04-07,08:15:00
Hebbal,Electronic City,13.0352,77.5912,12.8452,77.66,Saturday,2025-04-05 18:00:00,68.88333333333334,,,,,,,,,,2025-04-05,18:00:00
Jayanagar,MG Road,12.925,77.5938,12.9756,77.605,Sunday,2025-04-06 08:00:00,22.566666666666663,,,,,,,,,,2025-04-06,08:00:00
Sarjapur,Yelahanka,12.8618,77.79,13.1007,77.5963,Tuesday,2025-04-01 08:15:00,94.68333333333334,,,,,,,,,,2025-04-01,08:15:00
Vijayanagar,BTM Layout,12.9798,77.5441,12.9166,77.6101,Wednesday,2025-03-19 18:15:00,59.18333333333333,,,,,,,,,,2025-03-19,18:15:00
BTM Layout,Vijayanagar,12.9166,77.6101,12.9798,77.5441,Sunday,2025-02-23 18:45:00,56.8,,,,,,,,,,2025-02-23,18:45:00
Marathahalli,MG Road,12.955,77.7019,12.9756,77.605,Friday,2025-03-14 18:45:00,41.0,,,,,,,,,,2025-03-14,18:45:00
Kengeri,Banashankari,12.9141,77.5145,12.9184,77.5736,Saturday,2025-02-22 08:15:00,29.28333333333333,,,,,,,,,,2025-02-22,08:15:00
Malleshwaram,Kengeri,13.0097,77.569,12.9141,77.5145,Sunday,2025-03-16 18:30:00,42.583333333333336,,,,,,,,,,2025-03-16,18:30:00
Indiranagar,RT Nagar,12.9716,77.6412,13.0086,77.5917,Thursday,2025-03-20 18:30:00,39.583333333333336,,,,,,,,,,2025-03-20,18:30:00
Malleshwaram,Hebbal,13.0097,77.569,13.0352,77.5912,Thursday,2025-03-20 18:00:00,22.05,,,,,,,,,,2025-03-20,18:00:00
Hebbal,Vijayanagar,13.0352,77.5912,12.9798,77.5441,Friday,2025-01-24 08:00:00,27.066666666666663,,,,,,,,,,2025-01-24,08:00:00
Marathahalli,Whitefield,12.955,77.7019,12.9698,77.7499,Thursday,2025-03-27 08:15:00,19.83333333333333,,,,,,,,,,2025-03-27,08:15:00
Indiranagar,Vijayanagar,12.9716,77.6412,12.9798,77.5441,Monday,2025-02-17 18:30:00,55.083333333333336,,,,,,,,,,2025-02-17,18:30:00
BTM Layout,Hebbal,12.9166,77.6101,13.0352,77.5912,Thursday,2025-04-10 08:30:00,64.68333333333334,,,,,,,,,,2025-04-10,08:30:00
Koramangala,MG Road,12.9352,77.6245,12.9756,77.605,Tuesday,2025-02-18 18:15:00,31.25,,,,,,,,,,2025-02-18,18:15:00
MG Road,Basavanagudi,12.9756,77.605,12.9407,77.5848,Saturday,2025-03-29 08:45:00,18.3,,,,,,,,,,2025-03-29,08:45:00
Vijayanagar,RT Nagar,12.9798,77.5441,13.0086,77.5917,Monday,2025-02-10 18:45:00,29.1,,,,,,,,,,2025-02-10,18:45:00
Basavanagudi,BTM Layout,12.9407,77.5848,12.9166,77.6101,Monday,2025-03-31 18:30:00,17.25,,,,,,,,,,2025-03-31,18:30:00
MG Road,Sarjapur,12.9756,77.605,12.8618,77.79,Tuesday,2025-03-18 08:30:00,77.1,,,,,,,,,,2025-03-18,08:30:00
Jayanagar,Indiranagar,12.925,77.5938,12.9716,77.6412,Friday,2025-03-28 18:00:00,45.61666666666667,,,,,,,,,,2025-03-28,18:00:00
Hebbal,Marathahalli,13.0352,77.5912,12.955,77.7019,Thursday,2025-01-30 18:45:00,63.23333333333333,,,,,,,,,,2025-01-30,18:45:00
Basavanagudi,Electronic City,12.9407,77.5848,12.8452,77.66,Saturday,2025-03-01 08:15:00,29.25,,,,,,,,,,2025-03-01,08:15:00
Electronic City,Jayanagar,12.8452,77.66,12.925,77.5938,Monday,2025-02-17 08:00:00,28.966666666666665,,,,,,,,,,2025-02-17,08:00:00
HSR Layout,Hebbal,12.9121,77.6446,13.0352,77.5912,Monday,2025-01-13 08:15:00,60.78333333333333,,,,,,,,,,2025-01-13,08:15:00
RT Nagar,Electronic City,13.0086,77.5917,12.8452,77.66,Tuesday,2025-04-08 18:15:00,68.28333333333333,,,,,,,,,,2025-04-08,18:15:00
Hebbal,Jayanagar,13.0352,77.5912,12.925,77.5938,Sunday,2025-02-09 18:30:00,41.95,,,,,,,,,,2025-02-09,18:30:00
Rajajinagar,Yelahanka,12.9911,77.556,13.1007,77.5963,Friday,2025-01-17 18:45:00,42.73333333333333,,,,,,,,,,2025-01-17,18:45:00
Sarjapur,HSR Layout,12.8618,77.79,12.9121,77.6446,Friday,2025-02-14 18:00:00,57.06666666666667,,,,,,,,,,2025-02-14,18:00:00
BTM Layout,Marathahalli,12.9166,77.6101,12.955,77.7019,Tuesday,2025-03-18 18:15:00,45.73333333333333,,,,,,,,,,2025-03-18,18:15:00
MG Road,Electronic City,12.9756,77.605,12.8452,77.66,Sunday,2025-01-19 08:00:00,36.68333333333333,,,,,,,,,,2025-01-19,08:00:00
HSR Layout,Rajajinagar,12.9121,77.6446,12.9911,77.556,Thursday,2025-03-20 08:45:00,55.23333333333333,,,,,,,,,,2025-03-20,08:45:00
Sarjapur,Vijayanagar,12.8618,77.79,12.9798,77.5441,Monday,2025-03-03 08:15:00,83.43333333333334,,,,,,,,,,2025-03-03,08:15:00
Yelahanka,Vijayanagar,13.1007,77.5963,12.9798,77.5441,Thursday,2025-02-06 08:00:00,42.8,,,,,,,,,,2025-02-06,08:00:00
HSR Layout,BTM Layout,12.9121,77.6446,12.9166,77.6101,Monday,2025-03-24 18:30:00,40.91666666666666,,,,,,,,,,2025-03-24,18:30:00
BTM Layout,Malleshwaram,12.9166,77.6101,13.0097,77.569,Friday,2025-02-21 08:30:00,55.06666666666667,,,,,,,,,,2025-02-21,08:30:00
Kengeri,Yelahanka,12.9141,77.5145,13.1007,77.5963,Wednesday,2025-01-22 08:45:00,59.9,,,,,,,,,,2025-01-22,08:45:00
Marathahalli,Indiranagar,12.955,77.7019,12.9716,77.6412,Monday,2025-03-17 18:15:00,28.866666666666667,,,,,,,,,,2025-03-17,18:15:00
Vijayanagar,Basavanagudi,12.9798,77.5441,12.9407,77.5848,Monday,2025-02-17 18:00:00,36.56666666666667,,,,,,,,,,2025-02-17,18:00:00
Rajajinagar,HSR Layout,12.9911,77.556,12.9121,77.6446,Tuesday,2025-03-11 08:15:00,50.48333333333333,,,,,,,,,,2025-03-11,08:15:00
Basavanagudi,Banashankari,12.9407,77.5848,12.9184,77.5736,Friday,2025-04-11 18:15:00,17.133333333333333,,,,,,,,,,2025-04-11,18:15:00
Whitefield,Kengeri,12.9698,77.7499,12.9141,77.5145,Tuesday,2025-03-25 08:30:00,91.93333333333334,,,,,,,,,,2025-03-25,08:30:00
Jayanagar,MG Road,12.925,77.5938,12.9756,77.605,Friday,2025-03-07 08:00:00,25.03333333333333,,,,,,,,,,2025-03-07,08:00:00
BTM Layout,Koramangala,12.9166,77.6101,12.9352,77.6245,Thursday,2025-04-03 18:00:00,21.83333333333333,,,,,,,,,,2025-04-03,18:00:00
Whitefield,BTM Layout,12.9698,77.7499,12.9166,77.6101,Wednesday,2025-03-05 18:45:00,81.56666666666666,,,,,,,,,,2025-03-05,18:45:00
Malleshwaram,Indiranagar,13.0097,77.569,12.9716,77.6412,Tuesday,2025-04-01 08:45:00,37.46666666666667,,,,,,,,,,2025-04-01,08:45:00
RT Nagar,Kengeri,13.0086,77.5917,12.9141,77.5145,Tuesday,2025-04-08 18:15:00,56.91666666666666,,,,,,,,,,2025-04-08,18:15:00
HSR Layout,Kengeri,12.9121,77.6446,12.9141,77.5145,Friday,2025-03-14 18:15:00,64.95,,,,,,,,,,2025-03-14,18:15:00
Koramangala,Basavanagudi,12.9352,77.6245,12.9407,77.5848,Thursday,2025-03-06 18:30:00,25.883333333333333,,,,,,,,,,2025-03-06,18:30:00
Malleshwaram,Nagavara,13.0097,77.569,13.0458,77.6245,Monday,2025-01-13 18:30:00,35.38333333333333,,,,,,,,,,2025-01-13,18:30:00
Kengeri,Vijayanagar,12.9141,77.5145,12.9798,77.5441,Thursday,2025-03-20 08:45:00,31.85,,,,,,,,,,2025-03-20,08:45:00
Banashankari,HSR Layout,12.9184,77.5736,12.9121,77.6446,Sunday,2025-03-30 08:15:00,18.75,,,,,,,,,,2025-03-30,08:15:00
Kengeri,Banashankari,12.9141,77.5145,12.9184,77.5736,Tuesday,2025-02-25 08:00:00,30.73333333333333,,,,,,,,,,2025-02-25,08:00:00
Banashankari,Indiranagar,12.9184,77.5736,12.9716,77.6412,Monday,2025-02-03 08:15:00,44.15,,,,,,,,,,2025-02-03,08:15:00
MG Road,Indiranagar,12.9756,77.605,12.9716,77.6412,Thursday,2025-04-10 08:15:00,20.8,,,,,,,,,,2025-04-10,08:15:00
Banashankari,Koramangala,12.9184,77.5736,12.9352,77.6245,Thursday,2025-04-03 08:30:00,32.15,,,,,,,,,,2025-04-03,08:30:00
Kengeri,Marathahalli,12.9141,77.5145,12.955,77.7019,Saturday,2025-01-25 08:00:00,69.76666666666667,,,,,,,,,,2025-01-25,08:00:00
Rajajinagar,BTM Layout,12.9911,77.556,12.9166,77.6101,Monday,2025-01-20 08:45:00,44.53333333333333,,,,,,,,,,2025-01-20,08:45:00
Marathahalli,Rajajinagar,12.955,77.7019,12.9911,77.556,Tuesday,2025-01-28 18:45:00,64.36666666666666,,,,,,,,,,2025-01-28,18:45:00
Kengeri,Koramangala,12.9141,77.5145,12.9352,77.6245,Thursday,2025-02-06 08:15:00,61.95,,,,,,,,,,2025-02-06,08:15:00
Indiranagar,HSR Layout,12.9716,77.6412,12.9121,77.6446,Sunday,2025-03-30 08:15:00,23.133333333333333,,,,,,,,,,2025-03-30,08:15:00
BTM Layout,Hebbal,12.9166,77.6101,13.0352,77.5912,Sunday,2025-03-16 08:00:00,49.71666666666667,,,,,,,,,,2025-03-16,08:00:00
Indiranagar,Rajajinagar,12.9716,77.6412,12.9911,77.556,Sunday,2025-03-09 08:45:00,33.4,,,,,,,,,,2025-03-09,08:45:00
Yelahanka,Whitefield,13.1007,77.5963,12.9698,77.7499,Thursday,2025-04-03 18:00:00,81.06666666666666,,,,,,,,,,2025-04-03,18:00:00
Kengeri,Banashankari,12.9141,77.5145,12.9184,77.5736,Tuesday,2025-01-21 08:15:00,31.183333333333334,,,,,,,,,,2025-01-21,08:15:00
Nagavara,Hebbal,13.0458,77.6245,13.0352,77.5912,Thursday,2025-03-06 08:00:00,20.816666666666663,,,,,,,,,,2025-03-06,08:00:00
Whitefield,Vijayanagar,12.9698,77.7499,12.9798,77.5441,Wednesday,2025-02-05 08:30:00,82.61666666666666,,,,,,,,,,2025-02-05,08:30:00
Koramangala,Jayanagar,12.9352,77.6245,12.925,77.5938,Sunday,2025-02-02 08:30:00,16.066666666666666,,,,,,,,,,2025-02-02,08:30:00
MG Road,Basavanagudi,12.9756,77.605,12.9407,77.5848,Sunday,2025-03-23 08:15:00,17.166666666666668,,,,,,,,,,2025-03-23,08:15:00
Nagavara,HSR Layout,13.0458,77.6245,12.9121,77.6446,Saturday,2025-02-15 08:00:00,44.8,,,,,,,,,,2025-02-15,08:00:00
RT Nagar,Electronic City,13.0086,77.5917,12.8452,77.66,Tuesday,2025-02-25 08:00:00,54.31666666666667,,,,,,,,,,2025-02-25,08:00:00
BTM Layout,Malleshwaram,12.9166,77.6101,13.0097,77.569,Friday,2025-03-28 18:45:00,67.65,,,,,,,,,,2025-03-28,18:45:00
Jayanagar,Kengeri,12.925,77.5938,12.9141,77.5145,Tuesday,2025-01-28 18:30:00,48.96666666666667,,,,,,,,,,2025-01-28,18:30:00
Vijayanagar,Kengeri,12.9798,77.5441,12.9141,77.5145,Sunday,2025-02-23 18:15:00,30.183333333333334,,,,,,,,,,2025-02-23,18:15:00
Marathahalli,MG Road,12.955,77.7019,12.9756,77.605,Monday,2025-02-24 18:15:00,41.23333333333333,,,,,,,,,,2025-02-24,18:15:00
Banashankari,Koramangala,12.9184,77.5736,12.9352,77.6245,Saturday,2025-03-01 18:15:00,31.9,,,,,,,,,,2025-03-01,18:15:00
