Customer_ID,Date,Day_Of_Week,Trip_Type,Time_Of_Day,Start_Lat,Start_Lon,End_Lat,End_Lon,Distance_KM,Travel_Time_Minutes
12,2023-01-01,Sunday,Home_to_Office,9:30,12.907347,77.6109,12.926189,77.667367,6.61,9.96
12,2023-01-01,Sunday,Office_to_Home,18:00,12.926189,77.667367,12.907347,77.6109,6.61,14.25
13,2023-01-01,Sunday,Home_to_Office,9:45,13.080012,77.551686,12.938606,77.608231,16.9,28.44
13,2023-01-01,Sunday,Office_to_Home,17:15,12.938606,77.608231,13.080012,77.551686,16.9,37.01
14,2023-01-01,Sunday,Home_to_Office,7:30,13.052322,77.519975,12.90277,77.641973,21.42,39.32
14,2023-01-01,Sunday,Office_to_Home,17:15,12.90277,77.641973,13.052322,77.519975,21.42,40.86
15,2023-01-01,Sunday,Home_to_Office,9:15,12.918335,77.546021,12.961022,77.578407,5.95,7.6
15,2023-01-01,Sunday,Office_to_Home,17:45,12.961022,77.578407,12.918335,77.546021,5.95,11.59
16,2023-01-01,Sunday,Home_to_Office,7:15,13.051791,77.564969,12.907742,77.620268,17.13,30.06
16,2023-01-01,Sunday,Office_to_Home,17:30,12.907742,77.620268,13.051791,77.564969,17.13,35.34
17,2023-01-01,Sunday,Home_to_Office,8:30,12.951968,77.695364,13.083797,77.522669,24.12,42.84
17,2023-01-01,Sunday,Office_to_Home,17:45,13.083797,77.522669,12.951968,77.695364,24.12,50.34
18,2023-01-01,Sunday,Home_to_Office,8:30,13.052057,77.608977,13.035558,77.660427,6.0,11.32
18,2023-01-01,Sunday,Office_to_Home,18:30,13.035558,77.660427,13.052057,77.608977,6.0,8.52
19,2023-01-01,Sunday,Home_to_Office,8:00,12.986417,77.53197,13.036641,77.659844,15.25,29.38
19,2023-01-01,Sunday,Office_to_Home,19:30,13.036641,77.659844,12.986417,77.53197,15.25,31.62
20,2023-01-01,Sunday,Home_to_Office,7:15,13.016002,77.648736,13.038328,77.589943,6.98,11.65
20,2023-01-01,Sunday,Office_to_Home,19:00,13.038328,77.589943,13.016002,77.648736,6.98,14.84
21,2023-01-01,Sunday,Home_to_Office,9:30,12.953747,77.574024,13.050659,77.683092,16.2,23.99
21,2023-01-01,Sunday,Office_to_Home,17:15,13.050659,77.683092,12.953747,77.574024,16.2,34.75
22,2023-01-01,Sunday,Home_to_Office,7:45,12.942874,77.66544,13.034336,77.576777,14.14,25.17
22,2023-01-01,Sunday,Office_to_Home,18:30,13.034336,77.576777,12.942874,77.66544,14.14,29.13
23,2023-01-01,Sunday,Home_to_Office,8:45,13.088459,77.567793,12.917789,77.635248,20.37,35.18
23,2023-01-01,Sunday,Office_to_Home,20:00,12.917789,77.635248,13.088459,77.567793,20.37,44.84
24,2023-01-01,Sunday,Home_to_Office,8:30,13.037678,77.632289,13.06965,77.698554,8.17,12.26
24,2023-01-01,Sunday,Office_to_Home,17:30,13.06965,77.698554,13.037678,77.632289,8.17,18.14
25,2023-01-01,Sunday,Home_to_Office,9:15,12.996554,77.527267,13.024694,77.594265,8.07,15.13
25,2023-01-01,Sunday,Office_to_Home,18:00,13.024694,77.594265,12.996554,77.527267,8.07,21.46
26,2023-01-01,Sunday,Home_to_Office,8:45,12.901041,77.641263,12.941722,77.661853,5.06,8.59
26,2023-01-01,Sunday,Office_to_Home,20:00,12.941722,77.661853,12.901041,77.641263,5.06,10.37
27,2023-01-01,Sunday,Home_to_Office,10:45,13.088749,77.500613,12.919026,77.666176,26.32,45.63
27,2023-01-01,Sunday,Office_to_Home,19:30,12.919026,77.666176,13.088749,77.500613,26.32,51.57
28,2023-01-01,Sunday,Home_to_Office,9:30,12.995262,77.545166,13.012645,77.685991,15.75,30.11
28,2023-01-01,Sunday,Office_to_Home,17:15,13.012645,77.685991,12.995262,77.545166,15.75,30.28
29,2023-01-01,Sunday,Home_to_Office,7:30,12.951165,77.682958,12.971437,77.667167,2.85,5.0
29,2023-01-01,Sunday,Office_to_Home,19:15,12.971437,77.667167,12.951165,77.682958,2.85,5.0
30,2023-01-01,Sunday,Home_to_Office,7:45,12.991534,77.673478,12.925419,77.685715,7.46,7.65
30,2023-01-01,Sunday,Office_to_Home,20:30,12.925419,77.685715,12.991534,77.673478,7.46,17.07
31,2023-01-01,Sunday,Home_to_Office,8:00,12.91216,77.59454,12.928989,77.632582,4.62,8.15
31,2023-01-01,Sunday,Office_to_Home,19:00,12.928989,77.632582,12.91216,77.59454,4.62,10.02
32,2023-01-01,Sunday,Home_to_Office,10:00,13.050001,77.541396,13.084398,77.512214,5.01,8.13
32,2023-01-01,Sunday,Office_to_Home,18:00,13.084398,77.512214,13.050001,77.541396,5.01,8.39
33,2023-01-01,Sunday,Home_to_Office,8:30,13.040562,77.633507,12.941891,77.660362,11.35,21.13
33,2023-01-01,Sunday,Office_to_Home,20:00,12.941891,77.660362,13.040562,77.633507,11.35,19.85
34,2023-01-01,Sunday,Home_to_Office,8:45,12.964432,77.555032,13.033381,77.559462,7.67,14.57
34,2023-01-01,Sunday,Office_to_Home,18:30,13.033381,77.559462,12.964432,77.555032,7.67,16.14
35,2023-01-01,Sunday,Home_to_Office,8:00,12.93867,77.628962,12.949767,77.520333,12.12,23.37
35,2023-01-01,Sunday,Office_to_Home,20:00,12.949767,77.520333,12.93867,77.628962,12.12,26.3
36,2023-01-01,Sunday,Home_to_Office,7:30,13.080981,77.572153,13.062204,77.598973,3.63,5.0
36,2023-01-01,Sunday,Office_to_Home,18:00,13.062204,77.598973,13.080981,77.572153,3.63,8.47
37,2023-01-01,Sunday,Home_to_Office,8:30,13.000002,77.611958,13.075968,77.674465,10.92,20.67
37,2023-01-01,Sunday,Office_to_Home,19:45,13.075968,77.674465,13.000002,77.611958,10.92,19.18
38,2023-01-01,Sunday,Home_to_Office,8:45,13.061795,77.551849,12.946544,77.513266,13.49,23.34
38,2023-01-01,Sunday,Office_to_Home,17:30,12.946544,77.513266,13.061795,77.551849,13.49,22.38
39,2023-01-01,Sunday,Home_to_Office,9:30,12.955151,77.542266,12.989647,77.630906,10.56,16.7
39,2023-01-01,Sunday,Office_to_Home,19:45,12.989647,77.630906,12.955151,77.542266,10.56,20.42
40,2023-01-01,Sunday,Home_to_Office,10:00,12.986846,77.661633,13.098364,77.688985,12.75,22.9
40,2023-01-01,Sunday,Office_to_Home,18:15,13.098364,77.688985,12.986846,77.661633,12.75,25.93
41,2023-01-01,Sunday,Home_to_Office,10:15,12.914934,77.692098,13.042996,77.511106,24.61,43.82
41,2023-01-01,Sunday,Office_to_Home,18:00,13.042996,77.511106,12.914934,77.692098,24.61,48.07
42,2023-01-01,Sunday,Home_to_Office,9:45,12.908429,77.516391,12.934268,77.531187,3.31,9.2
42,2023-01-01,Sunday,Office_to_Home,17:15,12.934268,77.531187,12.908429,77.516391,3.31,9.84
43,2023-01-01,Sunday,Home_to_Office,8:30,12.905368,77.541218,12.948002,77.533887,4.8,11.21
43,2023-01-01,Sunday,Office_to_Home,19:00,12.948002,77.533887,12.905368,77.541218,4.8,8.87
44,2023-01-01,Sunday,Home_to_Office,8:30,13.027287,77.586377,13.090591,77.502052,11.7,23.64
44,2023-01-01,Sunday,Office_to_Home,18:45,13.090591,77.502052,13.027287,77.586377,11.7,18.39
45,2023-01-01,Sunday,Home_to_Office,7:00,12.940938,77.57174,13.066724,77.600378,14.32,24.88
45,2023-01-01,Sunday,Office_to_Home,17:15,13.066724,77.600378,12.940938,77.57174,14.32,28.93
46,2023-01-01,Sunday,Home_to_Office,10:00,12.907142,77.618248,13.069263,77.518021,21.16,36.77
46,2023-01-01,Sunday,Office_to_Home,19:30,13.069263,77.518021,12.907142,77.618248,21.16,41.56
47,2023-01-01,Sunday,Home_to_Office,10:00,12.967095,77.656624,13.012171,77.640639,5.31,9.95
47,2023-01-01,Sunday,Office_to_Home,18:00,13.012171,77.640639,12.967095,77.656624,5.31,6.55
48,2023-01-01,Sunday,Home_to_Office,7:30,12.917448,77.610084,13.03343,77.593234,13.01,21.2
48,2023-01-01,Sunday,Office_to_Home,20:15,13.03343,77.593234,12.917448,77.610084,13.01,27.0
49,2023-01-01,Sunday,Home_to_Office,9:15,12.948814,77.504318,12.90766,77.607288,12.31,19.12
49,2023-01-01,Sunday,Office_to_Home,18:15,12.90766,77.607288,12.948814,77.504318,12.31,24.71
50,2023-01-01,Sunday,Home_to_Office,10:15,13.037271,77.637154,13.046869,77.548814,9.86,11.45
50,2023-01-01,Sunday,Office_to_Home,20:30,13.046869,77.548814,13.037271,77.637154,9.86,20.75
1,2023-01-02,Monday,Home_to_Office,9:00,12.97877,77.592759,12.95723,77.614378,3.39,5.75
1,2023-01-02,Monday,Office_to_Home,19:15,12.95723,77.614378,12.97877,77.592759,3.39,10.14
2,2023-01-02,Monday,Home_to_Office,10:00,12.901048,77.535521,12.944962,77.682184,16.99,41.19
2,2023-01-02,Monday,Office_to_Home,17:30,12.944962,77.682184,12.901048,77.535521,16.99,43.95
3,2023-01-02,Monday,Home_to_Office,8:15,12.912122,77.698668,12.932292,77.60344,10.8,25.57
3,2023-01-02,Monday,Office_to_Home,20:30,12.932292,77.60344,12.912122,77.698668,10.8,29.37
4,2023-01-02,Monday,Home_to_Office,9:15,12.98495,77.552451,13.047475,77.61595,9.89,22.33
4,2023-01-02,Monday,Office_to_Home,17:30,13.047475,77.61595,12.98495,77.552451,9.89,28.86
5,2023-01-02,Monday,Home_to_Office,9:00,13.029297,77.659122,12.955567,77.682452,8.58,20.83
5,2023-01-02,Monday,Office_to_Home,17:00,12.955567,77.682452,13.029297,77.659122,8.58,23.82
6,2023-01-02,Monday,Home_to_Office,10:45,13.090188,77.620676,12.972083,77.540657,15.84,36.59
6,2023-01-02,Monday,Office_to_Home,17:00,12.972083,77.540657,13.090188,77.620676,15.84,42.22
7,2023-01-02,Monday,Home_to_Office,7:00,13.058548,77.553486,13.064227,77.573454,2.3,7.12
7,2023-01-02,Monday,Office_to_Home,20:45,13.064227,77.573454,13.058548,77.553486,2.3,5.0
8,2023-01-02,Monday,Home_to_Office,7:15,13.04274,77.521537,13.058356,77.647595,14.1,33.72
8,2023-01-02,Monday,Office_to_Home,19:30,13.058356,77.647595,13.04274,77.521537,14.1,39.11
9,2023-01-02,Monday,Home_to_Office,8:15,12.997693,77.645631,13.05934,77.676446,7.65,17.43
9,2023-01-02,Monday,Office_to_Home,18:15,13.05934,77.676446,12.997693,77.645631,7.65,22.03
10,2023-01-02,Monday,Home_to_Office,10:45,13.019928,77.598829,12.913102,77.562878,12.51,22.02
10,2023-01-02,Monday,Office_to_Home,17:00,12.913102,77.562878,13.019928,77.598829,12.51,33.51
11,2023-01-02,Monday,Home_to_Office,10:00,12.908455,77.56512,13.012702,77.591889,11.95,29.25
11,2023-01-02,Monday,Office_to_Home,18:45,13.012702,77.591889,12.908455,77.56512,11.95,30.49
12,2023-01-02,Monday,Home_to_Office,10:15,12.907347,77.6109,12.926189,77.667367,6.61,12.14
12,2023-01-02,Monday,Office_to_Home,18:15,12.926189,77.667367,12.907347,77.6109,6.61,18.99
13,2023-01-02,Monday,Home_to_Office,9:15,13.080012,77.551686,12.938606,77.608231,16.9,38.5
13,2023-01-02,Monday,Office_to_Home,19:45,12.938606,77.608231,13.080012,77.551686,16.9,42.98
14,2023-01-02,Monday,Home_to_Office,7:15,13.052322,77.519975,12.90277,77.641973,21.42,49.01
14,2023-01-02,Monday,Office_to_Home,19:15,12.90277,77.641973,13.052322,77.519975,21.42,57.89
15,2023-01-02,Monday,Home_to_Office,9:00,12.918335,77.546021,12.961022,77.578407,5.95,13.42
15,2023-01-02,Monday,Office_to_Home,17:45,12.961022,77.578407,12.918335,77.546021,5.95,10.57
16,2023-01-02,Monday,Home_to_Office,10:15,13.051791,77.564969,12.907742,77.620268,17.13,37.75
16,2023-01-02,Monday,Office_to_Home,18:30,12.907742,77.620268,13.051791,77.564969,17.13,41.67
17,2023-01-02,Monday,Home_to_Office,10:30,12.951968,77.695364,13.083797,77.522669,24.12,52.93
17,2023-01-02,Monday,Office_to_Home,18:00,13.083797,77.522669,12.951968,77.695364,24.12,67.82
18,2023-01-02,Monday,Home_to_Office,9:15,13.052057,77.608977,13.035558,77.660427,6.0,13.58
18,2023-01-02,Monday,Office_to_Home,19:45,13.035558,77.660427,13.052057,77.608977,6.0,18.92
19,2023-01-02,Monday,Home_to_Office,9:30,12.986417,77.53197,13.036641,77.659844,15.25,37.32
19,2023-01-02,Monday,Office_to_Home,17:45,13.036641,77.659844,12.986417,77.53197,15.25,43.78
20,2023-01-02,Monday,Home_to_Office,8:45,13.016002,77.648736,13.038328,77.589943,6.98,15.34
20,2023-01-02,Monday,Office_to_Home,17:00,13.038328,77.589943,13.016002,77.648736,6.98,18.1
21,2023-01-02,Monday,Home_to_Office,9:15,12.953747,77.574024,13.050659,77.683092,16.2,37.31
21,2023-01-02,Monday,Office_to_Home,20:30,13.050659,77.683092,12.953747,77.574024,16.2,44.39
22,2023-01-02,Monday,Home_to_Office,8:30,12.942874,77.66544,13.034336,77.576777,14.14,33.52
22,2023-01-02,Monday,Office_to_Home,19:45,13.034336,77.576777,12.942874,77.66544,14.14,40.97
23,2023-01-02,Monday,Home_to_Office,9:15,13.088459,77.567793,12.917789,77.635248,20.37,46.57
23,2023-01-02,Monday,Office_to_Home,20:30,12.917789,77.635248,13.088459,77.567793,20.37,58.13
24,2023-01-02,Monday,Home_to_Office,9:15,13.037678,77.632289,13.06965,77.698554,8.17,17.91
24,2023-01-02,Monday,Office_to_Home,19:45,13.06965,77.698554,13.037678,77.632289,8.17,23.31
25,2023-01-02,Monday,Home_to_Office,10:30,12.996554,77.527267,13.024694,77.594265,8.07,20.33
25,2023-01-02,Monday,Office_to_Home,17:00,13.024694,77.594265,12.996554,77.527267,8.07,20.69
26,2023-01-02,Monday,Home_to_Office,7:30,12.901041,77.641263,12.941722,77.661853,5.06,12.55
26,2023-01-02,Monday,Office_to_Home,17:30,12.941722,77.661853,12.901041,77.641263,5.06,14.95
27,2023-01-02,Monday,Home_to_Office,7:15,13.088749,77.500613,12.919026,77.666176,26.32,58.64
27,2023-01-02,Monday,Office_to_Home,19:00,12.919026,77.666176,13.088749,77.500613,26.32,74.8
28,2023-01-02,Monday,Home_to_Office,7:00,12.995262,77.545166,13.012645,77.685991,15.75,36.76
28,2023-01-02,Monday,Office_to_Home,18:45,13.012645,77.685991,12.995262,77.545166,15.75,41.28
29,2023-01-02,Monday,Home_to_Office,8:45,12.951165,77.682958,12.971437,77.667167,2.85,5.0
29,2023-01-02,Monday,Office_to_Home,19:30,12.971437,77.667167,12.951165,77.682958,2.85,6.44
30,2023-01-02,Monday,Home_to_Office,7:00,12.991534,77.673478,12.925419,77.685715,7.46,16.03
30,2023-01-02,Monday,Office_to_Home,18:15,12.925419,77.685715,12.991534,77.673478,7.46,20.61
31,2023-01-02,Monday,Home_to_Office,8:30,12.91216,77.59454,12.928989,77.632582,4.62,12.26
31,2023-01-02,Monday,Office_to_Home,18:15,12.928989,77.632582,12.91216,77.59454,4.62,14.65
32,2023-01-02,Monday,Home_to_Office,7:45,13.050001,77.541396,13.084398,77.512214,5.01,12.66
32,2023-01-02,Monday,Office_to_Home,19:15,13.084398,77.512214,13.050001,77.541396,5.01,12.69
33,2023-01-02,Monday,Home_to_Office,8:45,13.040562,77.633507,12.941891,77.660362,11.35,24.86
33,2023-01-02,Monday,Office_to_Home,18:00,12.941891,77.660362,13.040562,77.633507,11.35,32.03
34,2023-01-02,Monday,Home_to_Office,9:30,12.964432,77.555032,13.033381,77.559462,7.67,18.59
34,2023-01-02,Monday,Office_to_Home,17:30,13.033381,77.559462,12.964432,77.555032,7.67,24.19
35,2023-01-02,Monday,Home_to_Office,9:00,12.93867,77.628962,12.949767,77.520333,12.12,29.9
35,2023-01-02,Monday,Office_to_Home,20:45,12.949767,77.520333,12.93867,77.628962,12.12,32.63
36,2023-01-02,Monday,Home_to_Office,9:00,13.080981,77.572153,13.062204,77.598973,3.63,7.82
36,2023-01-02,Monday,Office_to_Home,19:15,13.062204,77.598973,13.080981,77.572153,3.63,10.44
37,2023-01-02,Monday,Home_to_Office,10:15,13.000002,77.611958,13.075968,77.674465,10.92,26.36
37,2023-01-02,Monday,Office_to_Home,20:45,13.075968,77.674465,13.000002,77.611958,10.92,29.81
38,2023-01-02,Monday,Home_to_Office,7:00,13.061795,77.551849,12.946544,77.513266,13.49,30.67
38,2023-01-02,Monday,Office_to_Home,17:15,12.946544,77.513266,13.061795,77.551849,13.49,37.87
39,2023-01-02,Monday,Home_to_Office,9:15,12.955151,77.542266,12.989647,77.630906,10.56,26.59
39,2023-01-02,Monday,Office_to_Home,20:00,12.989647,77.630906,12.955151,77.542266,10.56,26.48
40,2023-01-02,Monday,Home_to_Office,9:30,12.986846,77.661633,13.098364,77.688985,12.75,29.66
40,2023-01-02,Monday,Office_to_Home,19:45,13.098364,77.688985,12.986846,77.661633,12.75,34.09
41,2023-01-02,Monday,Home_to_Office,8:30,12.914934,77.692098,13.042996,77.511106,24.61,55.69
41,2023-01-02,Monday,Office_to_Home,20:00,13.042996,77.511106,12.914934,77.692098,24.61,68.81
42,2023-01-02,Monday,Home_to_Office,7:45,12.908429,77.516391,12.934268,77.531187,3.31,9.26
42,2023-01-02,Monday,Office_to_Home,19:00,12.934268,77.531187,12.908429,77.516391,3.31,10.82
43,2023-01-02,Monday,Home_to_Office,10:00,12.905368,77.541218,12.948002,77.533887,4.8,14.17
43,2023-01-02,Monday,Office_to_Home,19:15,12.948002,77.533887,12.905368,77.541218,4.8,12.3
44,2023-01-02,Monday,Home_to_Office,9:30,13.027287,77.586377,13.090591,77.502052,11.7,26.31
44,2023-01-02,Monday,Office_to_Home,17:45,13.090591,77.502052,13.027287,77.586377,11.7,30.03
45,2023-01-02,Monday,Home_to_Office,10:30,12.940938,77.57174,13.066724,77.600378,14.32,33.21
45,2023-01-02,Monday,Office_to_Home,20:00,13.066724,77.600378,12.940938,77.57174,14.32,37.61
46,2023-01-02,Monday,Home_to_Office,7:30,12.907142,77.618248,13.069263,77.518021,21.16,49.09
46,2023-01-02,Monday,Office_to_Home,17:45,13.069263,77.518021,12.907142,77.618248,21.16,53.84
47,2023-01-02,Monday,Home_to_Office,8:15,12.967095,77.656624,13.012171,77.640639,5.31,14.07
47,2023-01-02,Monday,Office_to_Home,18:00,13.012171,77.640639,12.967095,77.656624,5.31,8.7
48,2023-01-02,Monday,Home_to_Office,8:15,12.917448,77.610084,13.03343,77.593234,13.01,30.23
48,2023-01-02,Monday,Office_to_Home,20:45,13.03343,77.593234,12.917448,77.610084,13.01,40.34
49,2023-01-02,Monday,Home_to_Office,7:45,12.948814,77.504318,12.90766,77.607288,12.31,25.92
49,2023-01-02,Monday,Office_to_Home,20:45,12.90766,77.607288,12.948814,77.504318,12.31,32.69
50,2023-01-02,Monday,Home_to_Office,8:00,13.037271,77.637154,13.046869,77.548814,9.86,24.64
50,2023-01-02,Monday,Office_to_Home,18:30,13.046869,77.548814,13.037271,77.637154,9.86,26.51
1,2023-01-03,Tuesday,Home_to_Office,8:15,12.97877,77.592759,12.95723,77.614378,3.39,8.2
1,2023-01-03,Tuesday,Office_to_Home,20:30,12.95723,77.614378,12.97877,77.592759,3.39,11.3
2,2023-01-03,Tuesday,Home_to_Office,7:30,12.901048,77.535521,12.944962,77.682184,16.99,34.97
2,2023-01-03,Tuesday,Office_to_Home,17:45,12.944962,77.682184,12.901048,77.535521,16.99,44.37
3,2023-01-03,Tuesday,Home_to_Office,9:15,12.912122,77.698668,12.932292,77.60344,10.8,24.22
3,2023-01-03,Tuesday,Office_to_Home,17:00,12.932292,77.60344,12.912122,77.698668,10.8,26.69
4,2023-01-03,Tuesday,Home_to_Office,9:45,12.98495,77.552451,13.047475,77.61595,9.89,20.21
4,2023-01-03,Tuesday,Office_to_Home,17:30,13.047475,77.61595,12.98495,77.552451,9.89,23.33
5,2023-01-03,Tuesday,Home_to_Office,8:00,13.029297,77.659122,12.955567,77.682452,8.58,18.14
5,2023-01-03,Tuesday,Office_to_Home,20:45,12.955567,77.682452,13.029297,77.659122,8.58,21.88
6,2023-01-03,Tuesday,Home_to_Office,8:00,13.090188,77.620676,12.972083,77.540657,15.84,36.78
6,2023-01-03,Tuesday,Office_to_Home,20:00,12.972083,77.540657,13.090188,77.620676,15.84,41.34
7,2023-01-03,Tuesday,Home_to_Office,8:30,13.058548,77.553486,13.064227,77.573454,2.3,5.72
7,2023-01-03,Tuesday,Office_to_Home,17:00,13.064227,77.573454,13.058548,77.553486,2.3,5.0
8,2023-01-03,Tuesday,Home_to_Office,7:15,13.04274,77.521537,13.058356,77.647595,14.1,28.77
8,2023-01-03,Tuesday,Office_to_Home,19:00,13.058356,77.647595,13.04274,77.521537,14.1,36.17
9,2023-01-03,Tuesday,Home_to_Office,9:00,12.997693,77.645631,13.05934,77.676446,7.65,13.3
9,2023-01-03,Tuesday,Office_to_Home,17:30,13.05934,77.676446,12.997693,77.645631,7.65,16.63
10,2023-01-03,Tuesday,Home_to_Office,7:45,13.019928,77.598829,12.913102,77.562878,12.51,29.02
10,2023-01-03,Tuesday,Office_to_Home,18:15,12.913102,77.562878,13.019928,77.598829,12.51,31.86
11,2023-01-03,Tuesday,Home_to_Office,7:45,12.908455,77.56512,13.012702,77.591889,11.95,25.4
11,2023-01-03,Tuesday,Office_to_Home,17:15,13.012702,77.591889,12.908455,77.56512,11.95,30.12
12,2023-01-03,Tuesday,Home_to_Office,8:00,12.907347,77.6109,12.926189,77.667367,6.61,17.02
12,2023-01-03,Tuesday,Office_to_Home,19:45,12.926189,77.667367,12.907347,77.6109,6.61,16.91
13,2023-01-03,Tuesday,Home_to_Office,8:00,13.080012,77.551686,12.938606,77.608231,16.9,37.66
13,2023-01-03,Tuesday,Office_to_Home,18:15,12.938606,77.608231,13.080012,77.551686,16.9,43.02
14,2023-01-03,Tuesday,Home_to_Office,9:45,13.052322,77.519975,12.90277,77.641973,21.42,47.44
14,2023-01-03,Tuesday,Office_to_Home,20:15,12.90277,77.641973,13.052322,77.519975,21.42,55.87
15,2023-01-03,Tuesday,Home_to_Office,9:15,12.918335,77.546021,12.961022,77.578407,5.95,16.05
15,2023-01-03,Tuesday,Office_to_Home,19:15,12.961022,77.578407,12.918335,77.546021,5.95,15.32
16,2023-01-03,Tuesday,Home_to_Office,8:30,13.051791,77.564969,12.907742,77.620268,17.13,37.64
16,2023-01-03,Tuesday,Office_to_Home,18:15,12.907742,77.620268,13.051791,77.564969,17.13,46.96
17,2023-01-03,Tuesday,Home_to_Office,10:00,12.951968,77.695364,13.083797,77.522669,24.12,55.88
17,2023-01-03,Tuesday,Office_to_Home,19:30,13.083797,77.522669,12.951968,77.695364,24.12,63.04
18,2023-01-03,Tuesday,Home_to_Office,10:45,13.052057,77.608977,13.035558,77.660427,6.0,12.32
18,2023-01-03,Tuesday,Office_to_Home,17:15,13.035558,77.660427,13.052057,77.608977,6.0,14.6
19,2023-01-03,Tuesday,Home_to_Office,7:45,12.986417,77.53197,13.036641,77.659844,15.25,34.37
19,2023-01-03,Tuesday,Office_to_Home,19:00,13.036641,77.659844,12.986417,77.53197,15.25,39.96
20,2023-01-03,Tuesday,Home_to_Office,9:45,13.016002,77.648736,13.038328,77.589943,6.98,17.96
20,2023-01-03,Tuesday,Office_to_Home,17:15,13.038328,77.589943,13.016002,77.648736,6.98,21.65
21,2023-01-03,Tuesday,Home_to_Office,10:30,12.953747,77.574024,13.050659,77.683092,16.2,34.71
21,2023-01-03,Tuesday,Office_to_Home,19:00,13.050659,77.683092,12.953747,77.574024,16.2,44.85
22,2023-01-03,Tuesday,Home_to_Office,9:15,12.942874,77.66544,13.034336,77.576777,14.14,30.5
22,2023-01-03,Tuesday,Office_to_Home,20:00,13.034336,77.576777,12.942874,77.66544,14.14,36.61
23,2023-01-03,Tuesday,Home_to_Office,7:15,13.088459,77.567793,12.917789,77.635248,20.37,46.88
23,2023-01-03,Tuesday,Office_to_Home,20:00,12.917789,77.635248,13.088459,77.567793,20.37,51.32
24,2023-01-03,Tuesday,Home_to_Office,9:00,13.037678,77.632289,13.06965,77.698554,8.17,20.53
24,2023-01-03,Tuesday,Office_to_Home,19:30,13.06965,77.698554,13.037678,77.632289,8.17,24.02
25,2023-01-03,Tuesday,Home_to_Office,9:15,12.996554,77.527267,13.024694,77.594265,8.07,15.2
25,2023-01-03,Tuesday,Office_to_Home,18:15,13.024694,77.594265,12.996554,77.527267,8.07,20.98
26,2023-01-03,Tuesday,Home_to_Office,7:00,12.901041,77.641263,12.941722,77.661853,5.06,10.92
26,2023-01-03,Tuesday,Office_to_Home,17:00,12.941722,77.661853,12.901041,77.641263,5.06,13.72
27,2023-01-03,Tuesday,Home_to_Office,10:15,13.088749,77.500613,12.919026,77.666176,26.32,59.98
27,2023-01-03,Tuesday,Office_to_Home,19:45,12.919026,77.666176,13.088749,77.500613,26.32,68.33
28,2023-01-03,Tuesday,Home_to_Office,10:15,12.995262,77.545166,13.012645,77.685991,15.75,38.74
28,2023-01-03,Tuesday,Office_to_Home,17:00,13.012645,77.685991,12.995262,77.545166,15.75,40.83
29,2023-01-03,Tuesday,Home_to_Office,9:45,12.951165,77.682958,12.971437,77.667167,2.85,6.22
